回号,抽せん日,当選番号,ストレート,ボックス,セット（ストレート）,セット（ボックス）,ミニ,販売実績額
0180,1996/08/13,632,356,1871.0,392.0,2857.0,1026,242359400.0
0181,1996/08/16,890,289,1115.0,395.0,2065.0,844,230032200.0
0182,1996/08/20,439,342,1073.0,378.0,1888.0,1086,252869200.0
0183,1996/08/23,589,453,1250.0,714.0,2305.0,1833,260813600.0
0184,1996/08/27,492,287,1939.0,343.0,3349.0,786,270480800.0
0185,1996/08/30,882,572,1018.0,621.0,1386.0,1135,269225600.0
0186,1996/09/03,439,458,1496.0,546.0,2107.0,1266,283017600.0
0187,1996/09/06,975,291,1705.0,344.0,2493.0,847,285648800.0
0188,1996/09/10,254,593,2462.0,914.0,3621.0,1478,268563800.0
0189,1996/09/13,199,262,513.0,218.0,908.0,1054,260009600.0
0190,1996/09/17,170,196,1223.0,246.0,2459.0,677,247382600.0
0191,1996/09/20,424,419,486.0,429.0,666.0,1128,256994400.0
0192,1996/09/24,021,264,1402.0,253.0,2245.0,1021,238962000.0
0193,1996/09/27,656,258,389.0,287.0,690.0,1436,265906000.0
0194,1996/10/01,812,483,1999.0,715.0,2853.0,1482,270585000.0
0195,1996/10/04,819,432,1836.0,627.0,2919.0,1259,271174200.0
0196,1996/10/08,907,404,1259.0,679.0,1956.0,991,263733000.0
0197,1996/10/11,728,607,1725.0,821.0,2355.0,1496,264986800.0
0198,1996/10/15,374,520,1774.0,597.0,2352.0,936,263869000.0
0199,1996/10/18,269,519,2183.0,672.0,3232.0,1051,267035400.0
0200,1996/10/22,411,408,762.0,441.0,987.0,1423,275114200.0
0201,1996/10/25,176,377,1693.0,459.0,2525.0,643,267644600.0
0202,1996/10/29,676,251,388.0,217.0,639.0,620,272763600.0
0203,1996/11/01,093,288,1424.0,351.0,2470.0,1268,279059800.0
0204,1996/11/05,211,535,1314.0,466.0,1492.0,794,257646600.0
0205,1996/11/08,531,637,2821.0,764.0,3488.0,903,255226200.0
0206,1996/11/12,938,228,1490.0,332.0,3075.0,1049,251064000.0
0207,1996/11/15,413,489,1596.0,550.0,2166.0,1120,250016400.0
0208,1996/11/19,781,336,1813.0,471.0,3094.0,957,250125000.0
0209,1996/11/22,920,475,1763.0,617.0,2808.0,919,247841800.0
0210,1996/11/26,192,346,2481.0,458.0,4376.0,895,256011000.0
0211,1996/11/29,022,221,514.0,229.0,1061.0,1096,254403600.0
0212,1996/12/03,151,242,753.0,291.0,1211.0,1516,259577200.0
0213,1996/12/06,502,413,1888.0,664.0,2660.0,783,254165600.0
0214,1996/12/10,870,268,1002.0,290.0,1684.0,805,266532600.0
0215,1996/12/13,215,910,3512.0,1144.0,5081.0,1449,277185800.0
0216,1996/12/17,337,495,573.0,447.0,738.0,1184,279527400.0
0217,1996/12/20,712,822,3467.0,1092.0,4687.0,1493,278428000.0
0218,1996/12/24,594,294,1386.0,413.0,2698.0,898,255043000.0
0219,1996/12/27,260,299,1548.0,351.0,2522.0,959,281935000.0
0220,1997/01/07,112,1028,1501.0,919.0,1545.0,1654,310583600.0
0221,1997/01/10,514,600,1810.0,814.0,2615.0,1256,258705600.0
0222,1997/01/14,227,661,821.0,690.0,793.0,1511,265169200.0
0223,1997/01/17,333,1580,,,,1003,253468800.0
0224,1997/01/21,466,294,509.0,299.0,741.0,969,253225400.0
0225,1997/01/24,751,389,1984.0,373.0,2867.0,906,253551600.0
0226,1997/01/28,952,648,2807.0,889.0,4173.0,1252,268857000.0
0227,1997/01/31,188,315,595.0,335.0,914.0,1211,258266600.0
0228,1997/02/04,014,297,1421.0,326.0,2399.0,1155,256514200.0
0229,1997/02/07,409,383,1056.0,570.0,1758.0,1069,254476800.0
0230,1997/02/11,383,282,478.0,349.0,653.0,816,232690000.0
0231,1997/02/14,523,586,2153.0,743.0,3222.0,1717,252229200.0
